map_index,species,avibaseID,clements_scientific_name,clements_common_name,sort v2023,new_number_of_square,old_number_of_square,diff_number_of_square
21,Phalacrocorax carbo,avibase-3DF5C587,Phalacrocorax carbo,Great Cormorant,7224,15,13,2
99,Accipiter toussenelii,avibase-35A1472C,Accipiter tachiro,African Goshawk,7974,7,5,2
298,Tyto alba,avibase-FEE35F4C,Tyto alba,Barn Owl,8416,17,15,2
487,Acrocephalus schoenobaenus,avibase-FED5AED5,Acrocephalus schoenobaenus,Sedge Warbler,23248,13,11,2
27,Ixobrychus sturmii,avibase-87EEBD3E,Ixobrychus sturmii,Dwarf Bittern,7354,12,10,2
26,Ixobrychus minutus,avibase-7AAD57AC,Ixobrychus minutus,Little Bittern,7355,11,9,2
34,Egretta ardesiaca,avibase-74853F89,Egretta ardesiaca,Black Heron,7411,14,12,2
189,Numenius arquata,avibase-3BB5CBA6,Numenius arquata,Eurasian Curlew,5993,11,9,2
8,Puffinus puffinus,avibase-5AEDC002,Puffinus puffinus,Manx Shearwater,7053,2,0,2
5,Calonectris diomedea,avibase-FF3D837A,Calonectris diomedea,Cory's Shearwater,7033,2,0,2
401,Delichon urbicum,avibase-30FEC6BE,Delichon urbicum,Western House-Martin,23798,16,14,2
16,Phaethon aethereus,avibase-7EE005BD,Phaethon aethereus,Red-billed Tropicbird,6756,2,0,2
1016,Aegypius monachus,avibase-158BDC90,Aegypius monachus,Cinereous Vulture,7738,2,0,2
96,Circaetus cinereus,avibase-6904D83F,Circaetus cinereus,Brown Snake-Eagle,7802,23,21,2
1019,Aquila fasciata,avibase-05F11441,Aquila fasciata,Bonelli's Eagle,7887,2,0,2
485,Locustella naevia,avibase-BC0E4C9F,Locustella naevia,Common Grasshopper Warbler,23392,5,3,2
489,Acrocephalus arundinaceus,avibase-B283E332,Acrocephalus arundinaceus,Great Reed Warbler,23295,5,3,2
499,Sylvia melanocephala,avibase-B0D09483,Curruca melanocephala,Sardinian Warbler,24926,5,3,2
503,Phylloscopus collybita,avibase-F9F4B04D,Phylloscopus collybita,Common Chiffchaff,24432,17,15,2
246,Gelochelidon nilotica,avibase-87168739,Gelochelidon nilotica,Gull-billed Tern,6649,15,13,2
129,Falco cuvierii,avibase-F56A73BF,Falco cuvierii,African Hobby,11840,12,10,2
40,Ardea melanocephala,avibase-25A648FE,Ardea melanocephala,Black-headed Heron,7540,22,20,2
134,Falco vespertinus,avibase-997A9437,Falco vespertinus,Red-footed Falcon,11820,4,2,2
188,Numenius phaeopus,avibase-F9305BAA,Numenius phaeopus,Whimbrel,5978,11,9,2
185,Charadrius alexandrinus,avibase-AA4385A2,Anarhynchus alexandrinus,Kentish Plover,5920,10,8,2
474,Luscinia svecica,avibase-AFD6FD81,Luscinia svecica,Bluethroat,28907,7,5,2
571,Ploceus luteolus,avibase-1373D324,Ploceus luteolus,Little Weaver,30260,20,18,2
473,Luscinia megarhynchos,avibase-7C7F0DEE,Luscinia megarhynchos,Common Nightingale,28897,13,11,2
465,Monticola saxatilis,avibase-736D38E7,Monticola saxatilis,Rufous-tailed Rock-Thrush,29150,7,5,2
179,Pluvialis dominica,avibase-2143A852,Pluvialis dominica,American Golden-Plover,5786,3,1,2
576,Ploceus melanocephalus,avibase-19D053B3,Ploceus melanocephalus,Black-headed Weaver,30343,19,17,2
548,Anthreptes gabonicus,avibase-C13861D6,Anthreptes gabonicus,Mouse-brown Sunbird,29668,6,4,2
1046,Oenanthe heuglinii,avibase-6ADB636C,Oenanthe heuglinii,Heuglin's Wheatear,29295,2,0,2
169,Haematopus ostralegus,avibase-ED663165,Haematopus ostralegus,Eurasian Oystercatcher,5757,8,6,2
275,Turtur afer,avibase-23D5FC36,Turtur afer,Blue-spotted Wood-Dove,2172,11,9,2
60,Dendrocygna bicolor,avibase-9A60617E,Dendrocygna bicolor,Fulvous Whistling-Duck,238,9,7,2
1010,Microparra capensis,avibase-29B03FAE,Microparra capensis,Lesser Jacana,5966,2,0,2
