map_index,match_map_index,species,avibaseID,clements_scientific_name,clements_common_name,sort v2023
143,,Coturnix delegorguei,avibase-0CA903BB,Coturnix delegorguei,Harlequin Quail,1679
144,,Ptilopachus petrosus,avibase-57B05159,Ptilopachus petrosus,Stone Partridge,958
145,,Numida meleagris,avibase-1044B438,Numida meleagris,Helmeted Guineafowl,930
146,,Crex egregia,avibase-09A0F2EB,Crex egregia,African Crake,5297
147,,Porzana parva,avibase-9106EBE6,Zapornia parva,Little Crake,5561
148,,Porzana pusilla,avibase-34D5B04D,Zapornia pusilla,Baillon's Crake,5562
149,,Porzana porzana,avibase-460708F9,Porzana porzana,Spotted Crake,5429
150,,Amaurornis flavirostra,avibase-148F0B01,Zapornia flavirostra,Black Crake,5560
151,,Sarothrura pulchra,avibase-6EF64F69,Sarothrura pulchra,White-spotted Flufftail,5190
152,,Gallinula angulata,avibase-A927C1AE,Paragallinula angulata,Lesser Moorhen,5432
153,,Gallinula chloropus,avibase-8F82FF8C,Gallinula chloropus,Eurasian Moorhen,5436
154,,Porphyrio madagascariensis,avibase-865C039E,Porphyrio madagascariensis,African Swamphen,5496
155,,Porphyrio alleni,avibase-53288666,Porphyrio alleni,Allen's Gallinule,5488
156,,Fulica atra,avibase-B682B2A9,Fulica atra,Eurasian Coot,5461
157,,Podica senegalensis,avibase-46DECAEE,Podica senegalensis,African Finfoot,5634
158,,Balearica pavonina,avibase-31413BFF,Balearica pavonina,Black Crowned-Crane,5664
159,,Ardeotis arabs,avibase-6A394479,Ardeotis arabs,Arabian Bustard,2912
160,,Neotis denhami,avibase-4FDBC0CB,Neotis denhami,Denham's Bustard,2927
161,,Lophotis savilei,avibase-8F3D1E6F,Lophotis savilei,Savile's Bustard,2949
162,,Eupodotis senegalensis,avibase-3B287014,Eupodotis senegalensis,White-bellied Bustard,2933
163,,Lissotis melanogaster,avibase-562F4456,Lissotis melanogaster,Black-bellied Bustard,2957
164,,Actophilornis africanus,avibase-D16D486D,Actophilornis africanus,African Jacana,5972
165,,Burhinus oedicnemus,avibase-C7DB323E,Burhinus oedicnemus,Eurasian Thick-knee,5722
166,,Burhinus senegalensis,avibase-85DF723B,Burhinus senegalensis,Senegal Thick-knee,5729
167,,Burhinus capensis,avibase-862F6F04,Burhinus capensis,Spotted Thick-knee,5713
168,,Burhinus vermiculatus,avibase-96CCAFEE,Burhinus vermiculatus,Water Thick-knee,5718
169,,Haematopus ostralegus,avibase-ED663165,Haematopus ostralegus,Eurasian Oystercatcher,5757
170,,Haematopus moquini,avibase-C078081E,Haematopus moquini,African Oystercatcher,5773
171,,Vanellus vanellus,avibase-F029489A,Vanellus vanellus,Northern Lapwing,5823
172,,Vanellus spinosus,avibase-F5E92B22,Vanellus spinosus,Spur-winged Lapwing,5828
173,,Vanellus tectus,avibase-D531B5D3,Vanellus tectus,Black-headed Lapwing,5831
174,,Vanellus indicus,avibase-4A30C572,Vanellus indicus,Red-wattled Lapwing,5850
175,,Vanellus albiceps,avibase-C4EC6263,Vanellus albiceps,White-crowned Lapwing,5834
176,,Vanellus lugubris,avibase-42D3918F,Vanellus lugubris,Senegal Lapwing,5836
177,,Vanellus senegallus,avibase-074251A3,Vanellus senegallus,Wattled Lapwing,5843
178,,Pluvialis apricaria,avibase-25A20BA6,Pluvialis apricaria,European Golden-Plover,5783
179,,Pluvialis dominica,avibase-2143A852,Pluvialis dominica,American Golden-Plover,5786
180,,Pluvialis squatarola,avibase-27903EF7,Pluvialis squatarola,Black-bellied Plover,5782
181,,Charadrius hiaticula,avibase-EDA37B7C,Charadrius hiaticula,Common Ringed Plover,5802
182,,Charadrius dubius,avibase-35EC3BBF,Charadrius dubius,Little Ringed Plover,5815
183,,Charadrius pecuarius,avibase-0F0DCC2F,Anarhynchus pecuarius,Kittlitz's Plover,5904
184,,Charadrius forbesi,avibase-4EBB9A28,Charadrius forbesi,Forbes's Plover,5811
185,,Charadrius alexandrinus,avibase-AA4385A2,Anarhynchus alexandrinus,Kentish Plover,5920
186,,Charadrius marginatus,avibase-214B3533,Anarhynchus marginatus,White-fronted Plover,5914
187,,Charadrius morinellus,avibase-20BE9DF1,Eudromias morinellus,Eurasian Dotterel,5797
188,,Numenius phaeopus,avibase-F9305BAA,Numenius phaeopus,Whimbrel,5978
189,,Numenius arquata,avibase-3BB5CBA6,Numenius arquata,Eurasian Curlew,5993
190,,Limosa limosa,avibase-454B5CD5,Limosa limosa,Black-tailed Godwit,6009
191,,Limosa lapponica,avibase-9A684C99,Limosa lapponica,Bar-tailed Godwit,6000
192,,Tringa nebularia,avibase-18B415D2,Tringa nebularia,Common Greenshank,6116
193,,Tringa stagnatilis,avibase-15CF9352,Tringa stagnatilis,Marsh Sandpiper,6100
194,,Tringa glareola,avibase-8E67DC5F,Tringa glareola,Wood Sandpiper,6101
195,,Tringa flavipes,avibase-2C7A2673,Tringa flavipes,Lesser Yellowlegs,6109
196,,Tringa ochropus,avibase-A7B17EFC,Tringa ochropus,Green Sandpiper,6093
197,,Xenus cinereus,avibase-6D5992EE,Xenus cinereus,Terek Sandpiper,6089
198,,Actitis hypoleucos,avibase-8548B07E,Actitis hypoleucos,Common Sandpiper,6090
199,,Tringa totanus,avibase-D6BFC73A,Tringa totanus,Common Redshank,6102
200,,Tringa erythropus,avibase-0895DD84,Tringa erythropus,Spotted Redshank,6114
201,,Arenaria interpres,avibase-DC3050A9,Arenaria interpres,Ruddy Turnstone,6125
202,,Gallinago media,avibase-BCCD5840,Gallinago media,Great Snipe,6055
203,,Gallinago gallinago,avibase-9151E0BA,Gallinago gallinago,Common Snipe,6064
204,,Lymnocryptes minimus,avibase-1A15F0C6,Lymnocryptes minimus,Jack Snipe,6030
205,,Limnodromus sp.,avibase-87298A18,Limnodromus griseus/scolopaceus,Short-billed/Long-billed Dowitcher,6029
206,,Calidris canutus,avibase-B5CE8FAD,Calidris canutus,Red Knot,6130
207,,Calidris alpina,avibase-15369E8E,Calidris alpina,Dunlin,6156
208,,Calidris ferruginea,avibase-143A681C,Calidris ferruginea,Curlew Sandpiper,6146
209,,Calidris bairdii,avibase-1F1AD154,Calidris bairdii,Baird's Sandpiper,6180
210,,Calidris minuta,avibase-9936FF4A,Calidris minuta,Little Stint,6181
211,,Calidris temminckii,avibase-5ACF7FB3,Calidris temminckii,Temminck's Stint,6148
212,,Calidris alba,avibase-06B9BD24,Calidris alba,Sanderling,6153
213,,Calidris subruficollis,avibase-3A3C62BC,Calidris subruficollis,Buff-breasted Sandpiper,6152
214,,Calidris pugnax,avibase-2DABF98F,Calidris pugnax,Ruff,6141
215,,Phalaropus fulicarius,avibase-18A19380,Phalaropus fulicarius,Red Phalarope,6085
216,,Phalaropus lobatus,avibase-E6F3BA54,Phalaropus lobatus,Red-necked Phalarope,6086
217,,Himantopus himantopus,avibase-3CAEB7CE,Himantopus himantopus,Black-winged Stilt,5734
218,,Recurvirostra avosetta,avibase-C73ED2F5,Recurvirostra avosetta,Pied Avocet,5748
219,,Rostratula benghalensis,avibase-7516E687,Rostratula benghalensis,Greater Painted-Snipe,5947
220,,Pluvianus aegyptius,avibase-1B28A4B6,Pluvianus aegyptius,Egyptian Plover,5732
221,,Cursorius cursor,avibase-DE0A72A7,Cursorius cursor,Cream-colored Courser,6286
222,,Cursorius temminckii,avibase-7A841F83,Cursorius temminckii,Temminck's Courser,6294
223,,Rhinoptilus chalcopterus,avibase-F5145338,Rhinoptilus chalcopterus,Bronze-winged Courser,6269
224,,Glareola pratincola,avibase-D56ABB4E,Glareola pratincola,Collared Pratincole,6308
225,,Stercorarius skua,avibase-BB041C6E,Stercorarius skua,Great Skua,6326
226,,Stercorarius pomarinus,avibase-7CB8F5B7,Stercorarius pomarinus,Pomarine Jaeger,6323
227,,Stercorarius parasiticus,avibase-39086887,Stercorarius parasiticus,Parasitic Jaeger,6321
228,,Stercorarius longicaudus,avibase-1D446440,Stercorarius longicaudus,Long-tailed Jaeger,6318
229,,Ichthyaetus audouinii,avibase-F7B9355E,Ichthyaetus audouinii,Audouin's Gull,6458
230,,Larus belcheri,avibase-2864A5B0,Larus belcheri,Belcher's Gull,6467
231,,Leucophaeus pipixcan,avibase-57C93A74,Leucophaeus pipixcan,Franklin's Gull,6452
232,,Ichthyaetus melanocephalus,avibase-052BFA8A,Ichthyaetus melanocephalus,Mediterranean Gull,6459
233,,Rissa tridactyla,avibase-FB4D08F0,Rissa tridactyla,Black-legged Kittiwake,6409
234,,Chroicocephalus ridibundus,avibase-FB02DD96,Chroicocephalus ridibundus,Black-headed Gull,6434
235,,Chroicocephalus genei,avibase-27CE7132,Chroicocephalus genei,Slender-billed Gull,6421
236,,Hydrocoloeus minutus,avibase-F89FD6E3,Hydrocoloeus minutus,Little Gull,6407
237,,Leucophaeus atricilla,avibase-6CDC3C9C,Leucophaeus atricilla,Laughing Gull,6448
238,,Chroicocephalus cirrocephalus,avibase-6EB497FA,Chroicocephalus cirrocephalus,Gray-hooded Gull,6440
239,,Xema sabini,avibase-86182656,Xema sabini,Sabine's Gull,6415
240,,Larus michahellis,avibase-E074D706,Larus michahellis,Yellow-legged Gull,6507
241,,Larus fuscus,avibase-2D52E3A5,Larus fuscus,Lesser Black-backed Gull,6526
242,,Larus dominicanus,avibase-E6536E4E,Larus dominicanus,Kelp Gull,6490
243,,Rynchops flavirostris,avibase-907B1140,Rynchops flavirostris,African Skimmer,6565
244,,Anous stolidus,avibase-A070171E,Anous stolidus,Brown Noddy,6577
245,,Anous tenuirostris,avibase-03F9EB15,Anous tenuirostris,Lesser Noddy,6582
246,,Gelochelidon nilotica,avibase-87168739,Gelochelidon nilotica,Gull-billed Tern,6649
247,,Hydroprogne caspia,avibase-BC06BC0D,Hydroprogne caspia,Caspian Tern,6657
248,,Thalasseus albididorsalis,avibase-CF8461BF,Thalasseus albididorsalis,West African Crested Tern,6724
249,,Thalasseus sandvicensis,avibase-F7504353,Thalasseus sandvicensis,Sandwich Tern,6713
250,,Thalasseus bengalensis,avibase-D01CDECD,Thalasseus bengalensis,Lesser Crested Tern,6720
251,,Sterna dougallii,avibase-74236837,Sterna dougallii,Roseate Tern,6699
252,,Sterna hirundo,avibase-4D2FF6F1,Sterna hirundo,Common Tern,6686
253,,Sterna paradisaea,avibase-BDC5CF80,Sterna paradisaea,Arctic Tern,6672
254,,Onychoprion anaethetus,avibase-E6518B9D,Onychoprion anaethetus,Bridled Tern,6615
255,,Onychoprion fuscatus,avibase-3E7F825D,Onychoprion fuscatus,Sooty Tern,6607
256,,Chlidonias hybrida,avibase-7AB4E42B,Chlidonias hybrida,Whiskered Tern,6659
257,,Sternula albifrons,avibase-17310BF0,Sternula albifrons,Little Tern,6622
258,,Chlidonias niger,avibase-115AF02D,Chlidonias niger,Black Tern,6664
259,,Chlidonias leucopterus,avibase-43CAAEE3,Chlidonias leucopterus,White-winged Tern,6667
260,,Pterocles exustus,avibase-F5DE9155,Pterocles exustus,Chestnut-bellied Sandgrouse,2867
261,,Pterocles lichtensteinii,avibase-F3715F7B,Pterocles lichtensteinii,Lichtenstein's Sandgrouse,2893
262,,Pterocles quadricinctus,avibase-461482EA,Pterocles quadricinctus,Four-banded Sandgrouse,2904
263,,Turnix sylvaticus,avibase-0DA8BB90,Turnix sylvaticus,Small Buttonquail,6240
264,,Ortyxelos meiffrenii,avibase-B605A049,Ortyxelos meiffrenii,Quail-plover,6265
265,,Columba livia,avibase-BBA263C2,Columba livia,Rock Pigeon,1874
266,,Columba guinea,avibase-A6EA9F02,Columba guinea,Speckled Pigeon,1897
267,,Streptopelia turtur,avibase-5788552B,Streptopelia turtur,European Turtle-Dove,2035
268,,Streptopelia semitorquata,avibase-9888B3AE,Streptopelia semitorquata,Red-eyed Dove,2070
269,,Streptopelia decipiens,avibase-70BD722B,Streptopelia decipiens,Mourning Collared-Dove,2063
270,,Streptopelia vinacea,avibase-DDEF7228,Streptopelia vinacea,Vinaceous Dove,2078
271,,Streptopelia roseogrisea,avibase-273A4A2F,Streptopelia roseogrisea,African Collared-Dove,2056
272,,Spilopelia senegalensis,avibase-B2D6AB06,Spilopelia senegalensis,Laughing Dove,2091
273,,Oena capensis,avibase-DDC2CC92,Oena capensis,Namaqua Dove,2178
274,,Turtur tympanistria,avibase-7308278F,Turtur tympanistria,Tambourine Dove,2173
275,,Turtur afer,avibase-23D5FC36,Turtur afer,Blue-spotted Wood-Dove,2172
276,,Turtur abyssinicus,avibase-72B71F11,Turtur abyssinicus,Black-billed Wood-Dove,2171
277,,Treron calvus,avibase-00146574,Treron calvus,African Green-Pigeon,2553
278,,Treron waalia,avibase-46C90944,Treron waalia,Bruce's Green-Pigeon,2539
279,,Poicephalus fuscicollis,avibase-0EB10DB3,Poicephalus fuscicollis,Brown-necked Parrot,12522
280,,Poicephalus senegalus,avibase-D7F9C6B5,Poicephalus senegalus,Senegal Parrot,12546
281,,Psittacula krameri,avibase-6B1CFC3C,Psittacula krameri,Rose-ringed Parakeet,12111
282,,Tauraco persa,avibase-0B36500B,Tauraco persa,Guinea Turaco,2969
283,,Musophaga violacea,avibase-3893974C,Musophaga violacea,Violet Turaco,3008
284,,Crinifer piscator,avibase-3C3092F9,Crinifer piscator,Western Plantain-eater,3019
285,,Clamator glandarius,avibase-3D67C56A,Clamator glandarius,Great Spotted Cuckoo,3197
286,,Clamator jacobinus,avibase-BF0A0954,Clamator jacobinus,Pied Cuckoo,3199
287,,Clamator levaillantii,avibase-3C8C3A31,Clamator levaillantii,Levaillant's Cuckoo,3198
288,,Cuculus solitarius,avibase-26A34DA5,Cuculus solitarius,Red-chested Cuckoo,3410
289,,Cuculus clamosus,avibase-EDB84334,Cuculus clamosus,Black Cuckoo,3407
290,,Cuculus gularis,avibase-66931B3F,Cuculus gularis,African Cuckoo,3417
290,,Cuculus canorus,avibase-B3D2C3C5,Cuculus canorus,Common Cuckoo,3421
291,,Chrysococcyx klaas,avibase-1FACD210,Chrysococcyx klaas,Klaas's Cuckoo,3292
292,,Chrysococcyx caprius,avibase-0482FA7E,Chrysococcyx caprius,Dideric Cuckoo,3291
293,,Chrysococcyx cupreus,avibase-1B309CB5,Chrysococcyx cupreus,African Emerald Cuckoo,3295
294,,Ceuthmochares aereus,avibase-E0D521B7,Ceuthmochares aereus,Blue Malkoha,3157
295,,Centropus grillii,avibase-DB09507D,Centropus grillii,Black Coucal,3129
296,,Centropus leucogaster,avibase-A0CB9C06,Centropus leucogaster,Black-throated Coucal,3094
