TAXON CONCEPT ID,SCIENTIFIC NAME,count,map_index,sort v2023
avibase-2C7A2673,Tringa flavipes,15,195,6109
avibase-A7B17EFC,Tringa ochropus,2446,196,6093
avibase-6D5992EE,Xenus cinereus,6,197,6089
avibase-8548B07E,Actitis hypoleucos,6912,198,6090
avibase-D6BFC73A,Tringa totanus,3352,199,6102
avibase-0895DD84,Tringa erythropus,415,200,6114
avibase-DC3050A9,Arenaria interpres,1698,201,6125
avibase-BCCD5840,Gallinago media,4,202,6055
avibase-9151E0BA,Gallinago gallinago,783,203,6064
avibase-1A15F0C6,Lymnocryptes minimus,31,204,6030
avibase-B5CE8FAD,Calidris canutus,162,206,6130
avibase-15369E8E,Calidris alpina,905,207,6156
avibase-E952EA52,Calidris alpina,3,207,6161
avibase-143A681C,Calidris ferruginea,1120,208,6146
avibase-1F1AD154,Calidris bairdii,2,209,6180
avibase-9936FF4A,Calidris minuta,1943,210,6181
avibase-5ACF7FB3,Calidris temminckii,55,211,6148
avibase-06B9BD24,Calidris alba,1392,212,6153
avibase-3A3C62BC,Calidris subruficollis,16,213,6152
avibase-2DABF98F,Calidris pugnax,1845,214,6141
avibase-18A19380,Phalaropus fulicarius,90,215,6085
avibase-E6F3BA54,Phalaropus lobatus,6,216,6086
avibase-3CAEB7CE,Himantopus himantopus,4966,217,5734
avibase-C73ED2F5,Recurvirostra avosetta,916,218,5748
avibase-7516E687,Rostratula benghalensis,998,219,5947
avibase-1B28A4B6,Pluvianus aegyptius,1007,220,5732
avibase-DE0A72A7,Cursorius cursor,69,221,6286
avibase-7A841F83,Cursorius temminckii,570,222,6294
avibase-F5145338,Rhinoptilus chalcopterus,113,223,6269
avibase-D56ABB4E,Glareola pratincola,832,224,6308
avibase-BB041C6E,Stercorarius skua,15,225,6326
avibase-7CB8F5B7,Stercorarius pomarinus,730,226,6323
avibase-39086887,Stercorarius parasiticus,727,227,6321
avibase-1D446440,Stercorarius longicaudus,166,228,6318
avibase-F7B9355E,Ichthyaetus audouinii,822,229,6458
avibase-57C93A74,Leucophaeus pipixcan,22,231,6452
avibase-052BFA8A,Ichthyaetus melanocephalus,126,232,6459
avibase-FB02DD96,Chroicocephalus ridibundus,1412,234,6434
avibase-27CE7132,Chroicocephalus genei,2833,235,6421
avibase-F89FD6E3,Hydrocoloeus minutus,11,236,6407
avibase-6CDC3C9C,Leucophaeus atricilla,14,237,6448
avibase-6EB497FA,Chroicocephalus cirrocephalus,5544,238,6440
avibase-86182656,Xema sabini,196,239,6415
avibase-2AB668E3,Larus michahellis,2,240,6508
avibase-E074D706,Larus michahellis,149,240,6507
avibase-0CFFDCF7,Larus fuscus,32,241,6528
avibase-2D52E3A5,Larus fuscus,2842,241,6526
avibase-42720061,Larus fuscus,5,241,6527
avibase-DC679FC7,Larus fuscus,171,241,6529
avibase-6062B689,Larus dominicanus,67,242,6494
avibase-E6536E4E,Larus dominicanus,393,242,6490
avibase-907B1140,Rynchops flavirostris,9,243,6565
avibase-87168739,Gelochelidon nilotica,3795,246,6649
avibase-BC06BC0D,Hydroprogne caspia,5989,247,6657
avibase-CF8461BF,Thalasseus albididorsalis,3227,248,6724
avibase-04B49AE7,Thalasseus sandvicensis,1693,249,6714
avibase-F7504353,Thalasseus sandvicensis,2150,249,6713
avibase-D01CDECD,Thalasseus bengalensis,1194,250,6720
avibase-74236837,Sterna dougallii,153,251,6699
avibase-4D2FF6F1,Sterna hirundo,1315,252,6686
avibase-F0DF132B,Sterna hirundo,18,252,6687
avibase-BDC5CF80,Sterna paradisaea,237,253,6672
avibase-E6518B9D,Onychoprion anaethetus,35,254,6615
avibase-3E7F825D,Onychoprion fuscatus,2,255,6607
avibase-7AB4E42B,Chlidonias hybrida,781,256,6659
avibase-17310BF0,Sternula albifrons,1219,257,6622
avibase-115AF02D,Chlidonias niger,817,258,6664
avibase-E3F37B3A,Chlidonias niger,376,258,6665
avibase-43CAAEE3,Chlidonias leucopterus,433,259,6667
avibase-6EC9AAA4,Pterocles exustus,181,260,2868
avibase-F5DE9155,Pterocles exustus,365,260,2867
avibase-461482EA,Pterocles quadricinctus,911,262,2904
